Model,Site,RMSE,MAE,R2
Random Forest,ALL,0.17314028673192847,0.12655872978395438,0.6253305655675514
Random Forest,Havelock,0.13890289761364233,0.10388070374808926,0.21063164567443338
Random Forest,Neil,0.14230588490421378,0.10363103780131795,0.12090400902331266
Random Forest,Port_Blair,0.175985414916362,0.13286094444445476,0.12584740861222876
Random Forest,Wandoor,0.34641167133833045,0.3087840635346871,0.1693213224774167
XGBoost,ALL,0.18349911089232723,0.1300569625201448,0.5791571737131733
XGBoost,Havelock,0.13865118089663064,0.10701299267752633,0.21349000466850754
XGBoost,Neil,0.1374495524381643,0.09760620732120025,0.17988030951419243
XGBoost,Port_Blair,0.17841788822346344,0.13680105804266493,0.10151530031853406
XGBoost,Wandoor,0.42155258497275444,0.3560826084720708,-0.2301315139282034
